number,title,pageid,namespace,length,touched
25,Third_Battle_of_Ypres,222188,,205,20180103172729
82,Battle_of_Krithia,619364,,1880,20230427144121
347,Battle_of_Arleux,5783813,,419,20150320010924
366,Battle_of_St._Quentin_(September_1918),7148693,,319,20240102044421
374,Battle_of_Broken_Hill,7963694,,52087,20260221220605
464,Battle_of_Montfaucon,13499306,,293,20240102044421
518,Battle_of_Lagnicourt,18840842,,357,20250102150543
519,First_Battle_of_the_Scarpe,18840923,,280,20111229141838
520,First_Battle_of_Bullecourt,18840976,,316,20200615171433
521,Second_Battle_of_the_Scarpe,18841030,,342,20111229141037
522,Second_Battle_of_Bullecourt,18841046,,351,20200703211248
523,Third_Battle_of_the_Scarpe,18841058,,233,20080918021130
524,Battle_of_Hazebrouck,18841065,,314,20100922175107
544,Fourth_Battle_of_Ypres,20302415,,147,20180103172511
602,Battle_of_Albert_(1918),23082000,,3368,20250710151620
631,Battle_of_El_Burj,24079413,,1119,20251119223259
636,Battle_of_the_Ourcq,24184701,,286,20090921193739
638,Battle_of_the_Two_Morins,24197814,,306,20090921193903
639,Second_Battle_of_Noyon,24209432,,288,20240102044454
648,Battle_of_Revigny,24424799,,308,20120222123906
649,Battle_of_Vitry,24424845,,300,20120222124557
650,Battle_of_Malmaison,24424971,,329,20160729205830
653,Battle_of_Arras_(1918),24436199,,305,20190319125431
654,Battle_of_the_Ancre_(1918),24436514,,341,20201030132422
655,First_Battle_of_Noyon,24436661,,246,20111225153505
657,Battle_of_Matz,24456382,,408,20210429105549
658,Fourth_Battle_of_Champagne,24456502,,381,20241203205703
659,Battle_of_the_Mountain_of_Reims,24456640,,469,20111019044347
660,Battle_of_the_Mortagne,24540582,,325,20160508090308
662,Battle_of_the_Marshes_of_Saint-Gond,24548809,,307,20120222124947
664,Battle_of_Montdidier,24558851,,290,20240102044421
665,Battle_of_Tardenois,24559023,,467,20250405142932
666,Battle_of_Somme-Py,24616404,,288,20240102044421
667,Battle_of_Saint-Thierry,24616409,,302,20240102044421
668,Battle_of_Chesne,24616983,,281,20240102044421
672,Battle_of_Savy-Dallon,24916528,,263,20140518032736
673,Battle_of_Vauxaillon,24916547,,281,20140518032917
674,Second_Battle_of_Guise,24917452,,300,20240102044454
675,Battle_of_Thiérache,24917466,,327,20240102044506
738,Battle_of_the_Meuse,27978980,,292,20120123125649
741,First_Offensive_Battle_of_Verdun,28058254,,333,20240102045152
742,Second_Offensive_Battle_of_Verdun,28058270,,306,20120123132919
743,Battle_of_Mont_D'Origny,28058365,,299,20240102044421
746,Battle_of_the_Escaut_(1918),28058403,,288,20240102044421
747,Second_Battle_of_the_Lys_(1918),28058449,,240,20181027140629
748,First_Battle_of_Woevre,28058570,,281,20120123130958
797,Battle_of_Eski_Hissarlik,32818249,,1410,20260118170019
992,Battle_of_Saint_Hilaire-le-Grand,44875675,,2747,20250613151750
1000,Mines_in_the_Battle_of_Messines_(1917),46446060,,62637,20251120165829
1351,Battle_of_Lagarde_(1914),77295594,,4442,20260404142913
1367,Battle_of_Pskov_(1918),78090348,,467,20250510091213
1382,Battle_of_Jaroslawice,79467850,,3797,20250709232653
